# FIFA/IOC three-letter code -> ISO 3166-1 alpha-2, for the nationality FBref
# publishes. Only codes we are certain of are listed: a wrong nationality is
# worse than none, because work permits and non-EU quotas turn on it.
#
# The four British associations are separate football nations but share one ISO
# country, so ENG/SCO/WAL/NIR all map to GB. That is the same limitation the
# league list has (docs/TODO.md).
#
# Codes deliberately left out because we could not verify them: TCH.
fifa_code,iso_code
AFG,AF
ALB,AL
ALG,DZ
AND,AD
ANG,AO
ARG,AR
ARM,AM
ATG,AG
AUS,AU
AUT,AT
AZE,AZ
BAN,BD
BDI,BI
BEL,BE
BEN,BJ
BFA,BF
BHR,BH
BIH,BA
BLR,BY
BOL,BO
BOT,BW
BRA,BR
BRB,BB
BUL,BG
CAN,CA
CGO,CG
CHA,TD
CHI,CL
CIV,CI
CMR,CM
COD,CD
COL,CO
COM,KM
CPV,CV
CRC,CR
CRO,HR
CTA,CF
CUB,CU
CUW,CW
CYP,CY
CZE,CZ
DEN,DK
DOM,DO
ECU,EC
EGY,EG
ENG,GB
EQG,GQ
ERI,ER
ESP,ES
EST,EE
FIJ,FJ
FIN,FI
FRA,FR
FRO,FO
GAB,GA
GAM,GM
GEO,GE
GER,DE
GHA,GH
GLP,GP
GNB,GW
GRE,GR
GRN,GD
GUA,GT
GUF,GF
GUI,GN
GUY,GY
HAI,HT
HON,HN
HUN,HU
IDN,ID
IRL,IE
IRN,IR
IRQ,IQ
ISL,IS
ISR,IL
ITA,IT
JAM,JM
JOR,JO
JPN,JP
KAZ,KZ
KEN,KE
KGZ,KG
KOR,KR
KSA,SA
KVX,XK
LBR,LR
LBY,LY
LCA,LC
LIB,LB
LTU,LT
LUX,LU
LVA,LV
MAD,MG
MAR,MA
MAS,MY
MDA,MD
MEX,MX
MKD,MK
MLI,ML
MLT,MT
MNE,ME
MOZ,MZ
MSR,MS
MTN,MR
MTQ,MQ
MWI,MW
NAM,NA
NCL,NC
NED,NL
NGA,NG
NIG,NE
NIR,GB
NOR,NO
NZL,NZ
PAK,PK
PAN,PA
PAR,PY
PER,PE
PHI,PH
PLE,PS
POL,PL
POR,PT
PRK,KP
PUR,PR
QAT,QA
ROU,RO
RSA,ZA
RUS,RU
RWA,RW
SCO,GB
SEN,SN
SLE,SL
SLV,SV
SOM,SO
SRB,RS
SRI,LK
SSD,SS
SUI,CH
SUR,SR
SVK,SK
SVN,SI
SWE,SE
SYR,SY
TAN,TZ
THA,TH
TJK,TJ
TOG,TG
TRI,TT
TUN,TN
TUR,TR
UAE,AE
UGA,UG
UKR,UA
URU,UY
USA,US
UZB,UZ
VAN,VU
VEN,VE
WAL,GB
YEM,YE
ZAM,ZM
ZIM,ZW
