# ScoutGlobe lig seed'i. strength_coef DEGERLERI GECICIDIR (coef_source sutununa bak):
# UEFA ulke katsayilarindan turetilmis 0-1 olcekli tahminlerdir; Faz 1'de ClubElo ile degistirilecek.
# fbref_id = soccerdata lig anahtari, transfermarkt_id = Transfermarkt rekabet kodu.
name,country_code,tier,strength_coef,coef_source,api_football_id,fbref_id,transfermarkt_id
Premier League,GB,1,1.00,provisional-uefa,39,ENG-Premier League,GB1
Serie A,IT,1,0.86,provisional-uefa,135,ITA-Serie A,IT1
La Liga,ES,1,0.84,provisional-uefa,140,ESP-La Liga,ES1
Bundesliga,DE,1,0.83,provisional-uefa,78,GER-Bundesliga,L1
Ligue 1,FR,1,0.71,provisional-uefa,61,FRA-Ligue 1,FR1
Süper Lig,TR,1,0.43,provisional-uefa,203,TUR-Super Lig,TR1
Eredivisie,NL,1,,,,NED-Eredivisie,NL1
Primeira Liga,PT,1,,,,POR-Primeira Liga,PO1
Belçika Pro Ligi,BE,1,,,,BEL-Pro League,BE1
Campeonato Brasileiro Série A,BR,1,,,,BRA-Serie A,BRA1
Liga Profesional,AR,1,,,,ARG-Liga Profesional,ARG1
Liga MX,MX,1,,,,MEX-Liga MX,MEX1
Major League Soccer,US,1,,,,USA-Major League Soccer,MLS1
J1 League,JP,1,,,,JPN-J1 League,JAP1
Scottish Premiership,GB,1,,,,SCO-Premiership,SC1
Ekstraklasa,PL,1,,,,POL-Ekstraklasa,PL1
Avusturya Bundesliga,AT,1,,,,AUT-Bundesliga,A1
Suudi Pro Ligi,SA,1,,,,SAU-Pro League,SA1
EFL Championship,GB,2,0.52,provisional-uefa,40,ENG-Championship,GB2
Segunda División,ES,2,0.44,provisional-uefa,141,ESP-Segunda,ES2
2. Bundesliga,DE,2,0.43,provisional-uefa,79,GER-2. Bundesliga,L2
Serie B,IT,2,0.42,provisional-uefa,136,ITA-Serie B,IT2
Ligue 2,FR,2,0.37,provisional-uefa,62,FRA-Ligue 2,FR2
Scottish Championship,GB,2,0.18,provisional-uefa,180,SCO-Championship,SC2
Brasileirão Série B,BR,2,0.30,provisional-uefa,72,BRA-Serie B,BRA2
A League Men,AU,1,0.20,provisional-uefa,,AUS-A-League Men,AUS1
Super League,CH,1,0.36,provisional-uefa,,SUI-Super League,C1
Chance Liga,CZ,1,0.35,provisional-uefa,,CZE-First League,TS1
Superliga,DK,1,0.38,provisional-uefa,,DEN-Superliga,DK1
Super League 1,GR,1,0.39,provisional-uefa,,GRE-Super League,GR1
Supersport Hnl,HR,1,0.33,provisional-uefa,,CRO-Football League,KR1
K League 1,KR,1,0.28,provisional-uefa,,KOR-K League 1,RSK1
Eliteserien,NO,1,0.30,provisional-uefa,,NOR-Eliteserien,NO1
Superliga,RO,1,0.29,provisional-uefa,,ROU-Liga I,RO1
Super Liga Srbije,RS,1,0.31,provisional-uefa,,SRB-SuperLiga,SER1
Premier Liga,RU,1,0.34,provisional-uefa,,RUS-Premier League,RU1
Allsvenskan,SE,1,0.32,provisional-uefa,,SWE-Allsvenskan,SE1
Premier Liga,UA,1,0.37,provisional-uefa,,UKR-Premier League,UKR1
